Família;Nome científico;Município
Acanthaceae;Ruellia brevicaulis;Campos Novos
Amaranthaceae;Pfaffia tuberosa;Campos Novos
Amaryllidaceae;Nothoscordum gracilipes;Curitibanos
Anacardiaceae;Schinus weinmanniifolia;Campos Novos
Apiaceae;Cyclospermum leptophyllum;Campos Novos
Apiaceae;Eryngium elegans;Campos Novos
Apiaceae;Eryngium eriophorum;Campos Novos
Apiaceae;Eryngium sanguisorba;Campos Novos
Apiaceae;Eryngium sp.;Campos Novos
Apocynaceae;Mandevilla sp.;Campos Novos
Apocynaceae;Mandevilla coccinea;Campos Novos
Aristolochiaceae;Aristolochia sp.;Campos Novos
Asteraceae;Acanthospermum australe;Santa Cecília
Asteraceae;Achyrocline satureioides;Campos Novos
Asteraceae;Baccharidastrum triplinervium;Campos Novos
Asteraceae;Baccharis coridifolia;Campos Novos
Asteraceae;Baccharis crispa;Campos Novos
Asteraceae;Baccharis dracunculifolia;Campos Novos
Asteraceae;Baccharis erigeroides;Campos Novos
Asteraceae;Baccharis hirta;Campos Novos
Asteraceae;Baccharis pentaptera;Campos Novos
Asteraceae;Baccharis pentodonta;Campos Novos
Asteraceae;Baccharis retusa;Campos Novos
Asteraceae;Baccharis uncinella;Campos Novos
Asteraceae;Barrosoa betonicaeformis;Campos Novos
Asteraceae;Campuloclinium macrocephalum;Campos Novos
Asteraceae;Carduus tenuiflorus;Campos Novos
Asteraceae;Chaptalia integerrima;Campos Novos
Asteraceae;Chaptalia runcinata;Curitibanos
Asteraceae;Chevreulia acuminata;Campos Novos
Asteraceae;Chromolaena congesta;Campos Novos
Asteraceae;Chromolaena gentianoides;Curitibanos
Asteraceae;Chromolaena hirsuta;Campos Novos
Asteraceae;Chromolaena verbenacea;Campos Novos
Asteraceae;Chrysolaena cognata;Campos Novos
Asteraceae;Conyza bonariensis;Curitibanos
Asteraceae;Conyza catharinensis;Campos Novos
Asteraceae;Conyza primulifolia;Campos Novos
Asteraceae;Conyza sumatrensis;Campos Novos
Asteraceae;Dimerostemma arnottii;Campos Novos
Asteraceae;Disynaphia multicrenulata;Campos Novos
Asteraceae;Elephantopus mollis;Campos Novos
Asteraceae;Eupatorium betonicaeforme ascendens;Campos Novos
Asteraceae;Eupatorium laevigatum;Curitibanos
Asteraceae;Eupatorium macrocephalum;Campos Novos
Asteraceae;Gamochaeta americana;Campos Novos
Asteraceae;Grazielia intermedia;Campos Novos
Asteraceae;Gyptis lanigera;Campos Novos
Asteraceae;Hieracium commersonii;Campos Novos
Asteraceae;Hypochaeris catharinensis;Curitibanos
Asteraceae;Lessingianthus glabratus;Campos Novos
Asteraceae;Lessingianthus rubricaulis;Campos Novos
Asteraceae;Lucilia acutifolia;Campos Novos
Asteraceae;Lucilia nitens;Campos Novos
Asteraceae;Mikania congesta;Campos Novos
Asteraceae;Mikania fulva;Campos Novos
Asteraceae;Noticastrum calvatum;Curitibanos
Asteraceae;Noticastrum decumbens;Santa Cecília
